country,proportion,rank,time,value,zhou
澳大利亚,1.6686%,12,1974,88831245394,大洋洲
荷兰,1.6387%,13,1974,87243413476,欧洲
阿根廷,1.3606%,14,1974,72436777342,美洲
墨西哥,1.3524%,15,1974,72000000000,美洲
瑞典,1.2298%,16,1974,65472846353,欧洲
比利时,1.0525%,17,1974,56033078189,欧洲
瑞士,1.0415%,18,1974,55449199174,欧洲
伊朗,0.8680%,19,1974,46209092072,亚洲
沙特阿拉伯,0.8530%,20,1974,45412957746,亚洲
南非,0.6914%,21,1974,36807721039,非洲
土耳其,0.6687%,22,1974,35599913836,欧洲
奥地利,0.6610%,23,1974,35189299985,欧洲
丹麦,0.6417%,24,1974,34160444798,欧洲
挪威,0.5099%,25,1974,27145693810,欧洲
委内瑞拉,0.4903%,26,1974,26100930232,美洲
印尼,0.4847%,27,1974,25802409638,亚洲
希腊,0.4762%,28,1974,25351305681,欧洲
芬兰,0.4667%,29,1974,24848821332,欧洲
尼日利亚,0.4667%,30,1974,24846641318,非洲
韩国,0.3659%,31,1974,19482038222,亚洲
葡萄牙,0.3289%,32,1974,17512388318,欧洲
以色列,0.3069%,33,1974,16341001129,亚洲
智利,0.3045%,34,1974,16210404183,美洲
新西兰,0.2619%,35,1974,13940981798,大洋洲
秘鲁,0.2603%,36,1974,13858441211,美洲
菲律宾,0.2589%,37,1974,13781139969,亚洲
泰国,0.2574%,38,1974,13703000530,亚洲
阿尔及利亚,0.2481%,39,1974,13209713643,非洲
科威特,0.2443%,40,1974,13004774556,亚洲
孟加拉,0.2350%,41,1974,12512460519,亚洲
哥伦比亚,0.2324%,42,1974,12370029583,美洲
伊拉克,0.2163%,43,1974,11516762614,亚洲
古巴,0.2142%,44,1974,11405957317,美洲
刚果（金）,0.1803%,45,1974,9596960179,非洲
马来西亚,0.1784%,46,1974,9496074114,亚洲
香港,0.1764%,47,1974,9388663645,亚洲
埃及,0.1734%,48,1974,9228963224,非洲
巴基斯坦,0.1648%,49,1974,8773030424,亚洲
爱尔兰,0.1485%,50,1974,7906317068,欧洲
波多黎各,0.1443%,51,1974,7684800000,美洲
摩洛哥,0.1442%,52,1974,7675408485,非洲
厄瓜多尔,0.1240%,53,1974,6599259420,美洲
新加坡,0.0981%,54,1974,5221534955,亚洲
叙利亚,0.0969%,55,1974,5159557176,亚洲
苏丹,0.0863%,56,1974,4595000000,非洲
乌拉圭,0.0768%,57,1974,4090209681,美洲
津巴布韦,0.0748%,58,1974,3982161400,非洲
斯里兰卡,0.0671%,59,1974,3574586466,亚洲
突尼斯,0.0666%,60,1974,3545933562,非洲
卢森堡,0.0619%,61,1974,3295861019,欧洲
危地马拉,0.0594%,62,1974,3161499900,美洲
赞比亚,0.0586%,63,1974,3121833333,非洲
科特迪瓦,0.0577%,64,1974,3070151901,非洲
肯尼亚,0.0558%,65,1974,2973309272,非洲
多米尼加,0.0550%,66,1974,2925700000,美洲
加纳,0.0544%,67,1974,2894409937,非洲
卡塔尔,0.0451%,68,1974,2401403227,亚洲
牙买加,0.0446%,69,1974,2375096249,美洲
喀麦隆,0.0424%,70,1974,2255496995,非洲
巴拿马,0.0411%,71,1974,2188307600,美洲
阿富汗,0.0405%,72,1974,2155555497,亚洲
玻利维亚,0.0395%,73,1974,2100249875,美洲
乌干达,0.0394%,74,1974,2100142653,非洲
特立尼达和多巴哥,0.0384%,75,1974,2042031901,美洲
马达加斯加,0.0360%,76,1974,1917508190,非洲
哥斯达黎加,0.0313%,77,1974,1666544754,美洲
萨尔瓦多,0.0313%,78,1974,1665880000,美洲
塞内加尔,0.0311%,79,1974,1658273721,非洲
阿曼,0.0309%,80,1974,1645917776,亚洲
加蓬,0.0290%,81,1974,1544216003,非洲
尼加拉瓜,0.0286%,82,1974,1520900045,美洲
冰岛,0.0285%,83,1974,1517467733,欧洲
巴布亚新几内亚,0.0276%,84,1974,1467346059,大洋洲
巴拉圭,0.0250%,85,1974,1333475396,美洲
尼泊尔,0.0229%,86,1974,1217953546,亚洲
约旦,0.0225%,87,1974,1197454206,亚洲
文莱,0.0202%,88,1974,1073577085,亚洲
洪都拉斯,0.0194%,89,1974,1034500000,美洲
尼日尔,0.0193%,90,1974,1026136974,非洲
布基纳法索,0.0141%,91,1974,751133642,非洲
乍得,0.0123%,92,1974,652532796,非洲
塞拉利昂,0.0122%,93,1974,648590642,非洲
新喀里多尼亚,0.0120%,94,1974,637400199,大洋洲
巴哈马,0.0119%,95,1974,632400000,美洲
柬埔寨,0.0111%,96,1974,588443893,亚洲
刚果（布）,0.0110%,97,1974,585364635,非洲
海地,0.0106%,98,1974,565400000,美洲
摩纳哥,0.0106%,99,1974,563939670,欧洲
多哥,0.0105%,100,1974,560437742,非洲
斐济群岛,0.0105%,101,1974,558589870,大洋洲
法属波利尼西亚,0.0104%,102,1974,555337985,大洋洲
贝宁,0.0104%,103,1974,554654786,非洲
马拉维,0.0103%,104,1974,548621017,非洲
马里,0.0101%,105,1974,538747268,非洲
利比里亚,0.0091%,106,1974,486955000,非洲
索马里,0.0088%,107,1974,467577432,非洲
巴巴多斯,0.0083%,108,1974,441595558,美洲
圭亚那,0.0082%,109,1974,433954545,美洲
毛里塔尼亚,0.0078%,110,1974,414772366,非洲
苏里南,0.0077%,111,1974,409850000,美洲
马耳他,0.0071%,112,1974,376094108,欧洲
布隆迪,0.0065%,113,1974,345263492,非洲
百慕大,0.0059%,114,1974,312600000,美洲
卢旺达,0.0058%,115,1974,308458423,非洲
博茨瓦纳,0.0057%,116,1974,306033848,非洲
中非,0.0053%,117,1974,281398668,非洲
斯威士兰,0.0050%,118,1974,264311994,非洲
列支敦士登,0.0036%,119,1974,193983720,欧洲
安道尔,0.0035%,120,1974,186558696,欧洲
格陵兰,0.0032%,121,1974,169918948,美洲
莱索托,0.0028%,122,1974,150846210,非洲
伯利兹,0.0019%,123,1974,103216374,美洲
几内亚比绍,0.0019%,124,1974,98775328,非洲
冈比亚,0.0018%,125,1974,95797533,非洲
赤道几内亚,0.0018%,126,1974,94159862,非洲
基里巴斯,0.0016%,127,1974,85637174,大洋洲
所罗门群岛,0.0016%,128,1974,84539332,大洋洲
塞舌尔,0.0008%,129,1974,43134498,非洲
圣文森特和格林纳丁斯,0.0006%,130,1974,32924215,美洲
圣基茨和尼维斯,0.0006%,131,1974,31514856,美洲
美国,30.8786%,1,1973,1425376000000,美洲
日本,9.3604%,2,1973,432082670451,亚洲
德国,8.6302%,3,1973,398374022246,欧洲
法国,5.7285%,4,1973,264429876252,欧洲
英国,4.1710%,5,1973,192537971582,欧洲
意大利,3.8018%,6,1973,175492057123,欧洲
中国,3.0013%,7,1973,138544284708,亚洲
加拿大,2.8449%,8,1973,131321859214,美洲
印度,1.8526%,9,1973,85515269585,亚洲
巴西,1.7175%,10,1973,79279057730,美洲
西班牙,1.7036%,11,1973,78639527127,欧洲
荷兰,1.5563%,12,1973,71840910058,欧洲
澳大利亚,1.3808%,13,1973,63737347853,大洋洲
瑞典,1.2764%,14,1973,58918580976,欧洲
墨西哥,1.1976%,15,1973,55280000000,美洲
阿根廷,1.1383%,16,1973,52544000116,美洲
瑞士,1.0423%,17,1973,48114943566,欧洲
比利时,1.0343%,18,1973,47743801490,欧洲
丹麦,0.6657%,19,1973,30730626663,欧洲
奥地利,0.6394%,20,1973,29515467987,欧洲
南非,0.6346%,21,1973,29295674713,非洲
伊朗,0.5867%,22,1973,27081698249,亚洲
土耳其,0.5573%,23,1973,25724381625,欧洲
挪威,0.4882%,24,1973,22534253702,欧洲
希腊,0.4841%,25,1973,22347844649,欧洲
芬兰,0.4218%,26,1973,19472363155,欧洲
委内瑞拉,0.3690%,27,1973,17035581395,美洲
智利,0.3647%,28,1973,16836261173,美洲
印尼,0.3525%,29,1973,16273253012,亚洲
尼日利亚,0.3285%,30,1973,15162871287,非洲
葡萄牙,0.3269%,31,1973,15090566639,欧洲
沙特阿拉伯,0.3238%,32,1973,14947391140,亚洲
韩国,0.2999%,33,1973,13841885920,亚洲
新西兰,0.2773%,34,1973,12802281897,大洋洲
以色列,0.2454%,35,1973,11326250783,亚洲
秘鲁,0.2382%,36,1973,10994381894,美洲
泰国,0.2348%,37,1973,10838587357,亚洲
哥伦比亚,0.2235%,38,1973,10315760000,美洲
埃及,0.2188%,39,1973,10098534613,非洲
菲律宾,0.2184%,40,1973,10082885603,亚洲
古巴,0.2164%,41,1973,9987709650,美洲
阿尔及利亚,0.1888%,42,1973,8715105930,非洲
孟加拉,0.1752%,43,1973,8086725729,亚洲
香港,0.1740%,44,1973,8030117555,亚洲
刚果（金）,0.1705%,45,1973,7870239461,非洲
马来西亚,0.1660%,46,1973,7662996766,亚洲
爱尔兰,0.1623%,47,1973,7490132355,欧洲
波多黎各,0.1517%,48,1973,7002400000,美洲
巴基斯坦,0.1370%,49,1973,6324884129,亚洲
摩洛哥,0.1352%,50,1973,6242177798,非洲
科威特,0.1172%,51,1973,5408293998,亚洲
伊拉克,0.1112%,52,1973,5134367778,亚洲
乌拉圭,0.0859%,53,1973,3964295672,美洲
厄瓜多尔,0.0843%,54,1973,3891755551,美洲
新加坡,0.0801%,55,1973,3696213333,亚洲
苏丹,0.0774%,56,1973,3571666666,非洲
津巴布韦,0.0717%,57,1973,3309353600,非洲
叙利亚,0.0702%,58,1973,3239488104,亚洲
斯里兰卡,0.0623%,59,1973,2875625000,亚洲
突尼斯,0.0592%,60,1973,2730787476,非洲
卢森堡,0.0585%,61,1973,2701874663,欧洲
危地马拉,0.0557%,62,1973,2569200100,美洲
科特迪瓦,0.0543%,63,1973,2508421234,非洲
肯尼亚,0.0542%,64,1973,2502142444,非洲
加纳,0.0534%,65,1973,2465492957,非洲
多米尼加,0.0508%,66,1973,2344800000,美洲
赞比亚,0.0491%,67,1973,2268714285,非洲
巴拿马,0.0415%,68,1973,1913793400,美洲
牙买加,0.0413%,69,1973,1905917553,美洲
喀麦隆,0.0381%,70,1973,1758727395,非洲
阿富汗,0.0375%,71,1973,1733333264,亚洲
乌干达,0.0369%,72,1973,1702521008,非洲
马达加斯加,0.0358%,73,1973,1653062347,非洲
哥斯达黎加,0.0331%,74,1973,1528916185,美洲
塞内加尔,0.0319%,75,1973,1471913473,非洲
萨尔瓦多,0.0312%,76,1973,1442320000,美洲
特立尼达和多巴哥,0.0284%,77,1973,1308799458,美洲
巴布亚新几内亚,0.0281%,78,1973,1299105240,大洋洲
玻利维亚,0.0274%,79,1973,1262968515,美洲
冰岛,0.0250%,80,1973,1156175524,欧洲
尼加拉瓜,0.0237%,81,1973,1093571441,美洲
巴拉圭,0.0216%,82,1973,995531746,美洲
尼泊尔,0.0211%,83,1973,972101724,亚洲
尼日尔,0.0205%,84,1973,946385033,非洲
约旦,0.0204%,85,1973,943700547,亚洲
洪都拉斯,0.0198%,86,1973,912499950,美洲
卡塔尔,0.0172%,87,1973,793884368,亚洲
加蓬,0.0157%,88,1973,722780701,非洲
柬埔寨,0.0152%,89,1973,702899155,亚洲
布基纳法索,0.0146%,90,1973,674773821,非洲
巴哈马,0.0145%,91,1973,670900000,美洲
乍得,0.0140%,92,1973,647199482,非洲
塞拉利昂,0.0125%,93,1973,575230234,非洲
马里,0.0122%,94,1973,563683660,非洲
新喀里多尼亚,0.0117%,95,1973,542294864,大洋洲
刚果（布）,0.0117%,96,1973,541973362,非洲
摩纳哥,0.0113%,97,1973,523552815,欧洲
索马里,0.0110%,98,1973,507028428,非洲
贝宁,0.0109%,99,1973,504376035,非洲
阿曼,0.0105%,100,1973,483033932,亚洲
海地,0.0101%,101,1973,466800000,美洲
马拉维,0.0096%,102,1973,444281703,非洲
文莱,0.0094%,103,1973,433092003,亚洲
法属波利尼西亚,0.0093%,104,1973,431254103,大洋洲
斐济群岛,0.0092%,105,1973,425963359,大洋洲
多哥,0.0088%,106,1973,406479906,非洲
利比里亚,0.0084%,107,1973,386968300,非洲
马耳他,0.0075%,108,1973,345602025,欧洲
苏里南,0.0074%,109,1973,339450000,美洲
毛里塔尼亚,0.0072%,110,1973,333731886,非洲
圭亚那,0.0067%,111,1973,307047619,美洲
布隆迪,0.0066%,112,1973,304339839,非洲
卢旺达,0.0063%,113,1973,290746157,非洲
中非,0.0059%,114,1973,271183061,非洲
百慕大,0.0058%,115,1973,269500000,美洲
博茨瓦纳,0.0053%,116,1973,244129088,非洲
斯威士兰,0.0048%,117,1973,221902017,非洲
列支敦士登,0.0036%,118,1973,165930611,欧洲
安道尔,0.0033%,119,1973,150820102,欧洲
格陵兰,0.0030%,120,1973,140153748,美洲
莱索托,0.0026%,121,1973,121181556,非洲
几内亚比绍,0.0019%,122,1973,89374237,非洲
赤道几内亚,0.0018%,123,1973,81203226,非洲
伯利兹,0.0017%,124,1973,78343558,美洲
冈比亚,0.0016%,125,1973,75187969,非洲
所罗门群岛,0.0012%,126,1973,55272108,大洋洲
塞舌尔,0.0008%,127,1973,36896278,非洲
基里巴斯,0.0007%,128,1973,31710657,大洋洲
圣文森特和格林纳丁斯,0.0007%,129,1973,30165373,美洲
圣基茨和尼维斯,0.0005%,130,1973,24196018,美洲
美国,23.9139%,1,2018,20544343456936,美洲
中国,15.8401%,2,2018,13608151864637,亚洲
日本,5.7867%,3,2018,4971323079771,亚洲
德国,4.5951%,4,2018,3947620162502,欧洲
英国,3.3236%,5,2018,2855296731521,欧洲
法国,3.2331%,6,2018,2777535239277,欧洲
印度,3.1646%,7,2018,2718732231257,亚洲
意大利,2.4256%,8,2018,2083864259622,欧洲
巴西,2.1751%,9,2018,1868626087908,美洲
加拿大,1.9944%,10,2018,1713341704877,美洲
俄罗斯,1.9294%,11,2018,1657554647149,欧洲
韩国,1.8850%,12,2018,1619423701169,亚洲
澳大利亚,1.6691%,13,2018,1433904348500,大洋洲
西班牙,1.6518%,14,2018,1419041949909,欧洲
墨西哥,1.4209%,15,2018,1220699479845,美洲
印尼,1.2131%,16,2018,1042173300625,亚洲
荷兰,1.0635%,17,2018,913658465709,欧洲
沙特阿拉伯,0.9155%,18,2018,786521831571,亚洲
土耳其,0.8979%,19,2018,771350330455,欧洲
瑞士,0.8208%,20,2018,705140354166,欧洲
波兰,0.6817%,21,2018,585663814824,欧洲
瑞典,0.6473%,22,2018,556086488936,欧洲
比利时,0.6318%,23,2018,542761092103,欧洲
阿根廷,0.6051%,24,2018,519871519807,美洲
泰国,0.5878%,25,2018,504992757704,亚洲
奥地利,0.5300%,26,2018,455285818035,欧洲
挪威,0.5054%,27,2018,434166615431,欧洲
阿联酋,0.4821%,28,2018,414178942592,亚洲
尼日利亚,0.4624%,29,2018,397269616080,非洲
爱尔兰,0.4452%,30,2018,382487490532,欧洲
以色列,0.4314%,31,2018,370587977153,亚洲
美国,33.8103%,1,1972,1279110000000,美洲
日本,8.4064%,2,1972,318031297492,亚洲
德国,7.9245%,3,1972,299801542231,欧洲
法国,5.3789%,4,1972,203494148244,欧洲
南非,0.4287%,32,2018,368288939768,非洲
新加坡,0.4239%,33,2018,364156657769,亚洲
香港,0.4222%,34,2018,362682018243,亚洲
马来西亚,0.4174%,35,2018,358581943446,亚洲
英国,4.4926%,5,1972,169965034965,欧洲
意大利,3.8396%,6,1972,145260039508,欧洲
中国,3.0051%,7,1972,113687586299,亚洲
加拿大,2.9891%,8,1972,113082820992,美洲
印度,1.8890%,9,1972,71463193830,亚洲
西班牙,1.5630%,10,1972,59132415739,欧洲
巴西,1.5473%,11,1972,58539008786,美洲
丹麦,0.4140%,36,2018,355675329085,欧洲
哥伦比亚,0.3853%,37,2018,331047040087,美洲
菲律宾,0.3852%,38,2018,330910343610,亚洲
巴基斯坦,0.3662%,39,2018,314588210501,亚洲
智利,0.3471%,40,2018,298231133532,美洲
芬兰,0.3221%,41,2018,276743120515,欧洲
荷兰,1.4460%,12,1972,54706557264,欧洲
孟加拉,0.3190%,42,2018,274024958965,亚洲
埃及,0.2920%,43,2018,250894760351,非洲
捷克,0.2854%,44,2018,245225882903,欧洲
越南,0.2854%,45,2018,245213686369,亚洲
澳大利亚,1.3736%,13,1972,51967289719,大洋洲
瑞典,1.2834%,14,1972,48553327544,欧洲
墨西哥,1.1948%,15,1972,45200000000,美洲
比利时,0.9835%,16,1972,37209417835,欧洲
瑞士,0.9457%,17,1972,35777236928,欧洲
阿根廷,0.9181%,18,1972,34733000536,美洲
丹麦,0.6141%,19,1972,23232379951,欧洲
奥地利,0.5831%,20,1972,22059612417,欧洲
葡萄牙,0.2801%,46,2018,240674524464,欧洲
罗马尼亚,0.2788%,47,2018,239552516744,欧洲
伊拉克,0.2610%,48,2018,224228010477,亚洲
南非,0.5645%,21,1972,21357435928,非洲
土耳其,0.5400%,22,1972,20431095406,欧洲
挪威,0.4588%,23,1972,17358610849,欧洲
伊朗,0.4534%,24,1972,17153463263,亚洲
希腊,0.4463%,25,1972,16885506818,欧洲
芬兰,0.3897%,26,1972,14743185402,欧洲
委内瑞拉,0.3695%,27,1972,13977727272,美洲
秘鲁,0.2585%,49,2018,222044970486,美洲
希腊,0.2538%,50,2018,218031844583,欧洲
新西兰,0.2385%,51,2018,204923917869,大洋洲
卡塔尔,0.2227%,52,2018,191362087912,亚洲
哈萨克斯坦,0.2088%,53,2018,179339994859,亚洲
尼日利亚,0.3244%,28,1972,12274416017,非洲
智利,0.3133%,29,1972,11853817307,美洲
葡萄牙,0.2971%,30,1972,11239117123,欧洲
印尼,0.2907%,31,1972,10997590361,亚洲
阿尔及利亚,0.2023%,54,2018,173757952824,非洲
匈牙利,0.1838%,55,2018,157882912778,欧洲
科威特,0.1637%,56,2018,140645364238,亚洲
乌克兰,0.1523%,57,2018,130832374404,欧洲
摩洛哥,0.1373%,58,2018,117921394402,非洲
厄瓜多尔,0.1262%,59,2018,108398058000,美洲
斯洛伐克,0.1233%,60,2018,105904632155,欧洲
韩国,0.2866%,32,1972,10842220468,亚洲
沙特阿拉伯,0.2554%,33,1972,9664157498,亚洲
新西兰,0.2529%,34,1972,9567331064,大洋洲
巴基斯坦,0.2461%,35,1972,9309109764,亚洲
埃及,0.2458%,36,1972,9299638055,非洲
秘鲁,0.2429%,37,1972,9189413409,美洲
以色列,0.2320%,38,1972,8775250606,亚洲
哥伦比亚,0.2292%,39,1972,8671358732,美洲
安哥拉,0.1231%,61,2018,105750987618,非洲
波多黎各,0.1177%,62,2018,101130900000,美洲
泰国,0.2162%,40,1972,8177884552,亚洲
古巴,0.2150%,41,1972,8135150891,美洲
菲律宾,0.2119%,42,1972,8017468688,亚洲
阿尔及利亚,0.1787%,43,1972,6761786386,非洲
波多黎各,0.1673%,44,1972,6328900000,美洲
爱尔兰,0.1672%,45,1972,6325627458,欧洲
孟加拉,0.1662%,46,1972,6288245866,亚洲
刚果（金）,0.1632%,47,1972,6173712814,非洲
古巴,0.1164%,63,2018,100023000000,美洲
斯里兰卡,0.1035%,64,2018,88900770857,亚洲
肯尼亚,0.1023%,65,2018,87908262519,非洲
多米尼加,0.0996%,66,2018,85555390387,美洲
埃塞俄比亚,0.0982%,67,2018,84355604752,非洲
阿曼,0.0923%,68,2018,79276723016,亚洲
危地马拉,0.0913%,69,2018,78460447919,美洲
香港,0.1509%,48,1972,5710107420,亚洲
摩洛哥,0.1341%,49,1972,5074117544,非洲
缅甸,0.0829%,70,2018,71214803377,亚洲
卢森堡,0.0825%,71,2018,70885325883,欧洲
加纳,0.0763%,72,2018,65556464048,非洲
保加利亚,0.0758%,73,2018,65132951116,欧洲
马来西亚,0.1333%,50,1972,5043268548,亚洲
科威特,0.1177%,51,1972,4451200972,亚洲
伊拉克,0.1087%,52,1972,4113848002,亚洲
厄瓜多尔,0.0842%,53,1972,3185987234,美洲
叙利亚,0.0809%,54,1972,3059682162,亚洲
苏丹,0.0762%,55,1972,2882000000,非洲
新加坡,0.0719%,56,1972,2721440980,亚洲
津巴布韦,0.0708%,57,1972,2677729400,非洲
巴拿马,0.0757%,74,2018,65055100000,美洲
克罗地亚,0.0710%,75,2018,60971699315,欧洲
哥斯达黎加,0.0700%,76,2018,60130106115,美洲
斯里兰卡,0.0675%,58,1972,2553936348,亚洲
突尼斯,0.0591%,59,1972,2237476420,非洲
乌拉圭,0.0579%,60,1972,2189418001,美洲
加纳,0.0558%,61,1972,2112292944,非洲
肯尼亚,0.0557%,62,1972,2107279157,非洲
危地马拉,0.0555%,63,1972,2101300000,美洲
多米尼加,0.0525%,64,1972,1987400000,美洲
卢森堡,0.0520%,65,1972,1968733021,欧洲
白俄罗斯,0.0694%,77,2018,59662495092,欧洲
乌拉圭,0.0694%,78,2018,59596885024,美洲
坦桑尼亚,0.0675%,79,2018,58001200572,非洲
黎巴嫩,0.0659%,80,2018,56639155555,亚洲
澳门,0.0641%,81,2018,55084050789,亚洲
斯洛文尼亚,0.0629%,82,2018,54007972106,欧洲
赞比亚,0.0505%,66,1972,1910714285,非洲
立陶宛,0.0622%,83,2018,53429066429,欧洲
塞尔维亚,0.0589%,84,2018,50597289146,欧洲
乌兹别克斯坦,0.0588%,85,2018,50499921557,亚洲
利比亚,0.0563%,86,2018,48364208571,非洲
刚果（金）,0.0550%,87,2018,47227535290,非洲
阿塞拜疆,0.0546%,88,2018,46939529411,亚洲
科特迪瓦,0.0501%,89,2018,43007047821,非洲
牙买加,0.0496%,67,1972,1875048859,美洲
科特迪瓦,0.0489%,68,1972,1849400599,非洲
巴拿马,0.0442%,69,1972,1673411700,美洲
阿富汗,0.0422%,70,1972,1595555475,亚洲
乌干达,0.0394%,71,1972,1491596638,非洲
喀麦隆,0.0378%,72,1972,1430951331,非洲
约旦,0.0492%,90,2018,42231295774,亚洲
苏丹,0.0476%,91,2018,40851536133,非洲
土库曼斯坦,0.0474%,92,2018,40761142857,亚洲
巴拉圭,0.0471%,93,2018,40496953779,美洲
玻利维亚,0.0469%,94,2018,40287647756,美洲
突尼斯,0.0464%,95,2018,39871132267,非洲
喀麦隆,0.0450%,96,2018,38675205293,非洲
巴林,0.0439%,97,2018,37746196808,亚洲
拉脱维亚,0.0401%,98,2018,34409229177,欧洲
马达加斯加,0.0355%,73,1972,1341590681,非洲
塞内加尔,0.0338%,74,1972,1280328245,非洲
津巴布韦,0.0361%,99,2018,31000519447,非洲
爱沙尼亚,0.0358%,100,2018,30732144528,欧洲
尼泊尔,0.0338%,101,2018,29040398982,亚洲
乌干达,0.0320%,102,2018,27461440192,非洲
也门,0.0313%,103,2018,26914402223,亚洲
赞比亚,0.0311%,104,2018,26720073435,非洲
萨尔瓦多,0.0303%,105,2018,26057000000,美洲
冰岛,0.0301%,106,2018,25878475760,欧洲
萨尔瓦多,0.0334%,75,1972,1263720000,美洲
玻利维亚,0.0332%,76,1972,1257615644,美洲
哥斯达黎加,0.0327%,77,1972,1238251695,美洲
特立尼达和多巴哥,0.0286%,78,1972,1083381044,美洲
尼泊尔,0.0271%,79,1972,1024098804,亚洲
尼加拉瓜,0.0233%,80,1972,880842890,美洲
巴布亚新几内亚,0.0227%,81,1972,858802035,大洋洲
塞浦路斯,0.0291%,107,2018,24961988663,欧洲
冰岛,0.0222%,82,1972,840914457,欧洲
洪都拉斯,0.0212%,83,1972,802999950,美洲
约旦,0.0208%,84,1972,788574628,亚洲
巴拉圭,0.0203%,85,1972,769039682,美洲
尼日尔,0.0196%,86,1972,742779740,非洲
巴哈马,0.0156%,87,1972,590900000,美洲
柬埔寨,0.0286%,108,2018,24542474061,亚洲
塞内加尔,0.0281%,109,2018,24129599551,非洲
洪都拉斯,0.0279%,110,2018,23969890430,美洲
特立尼达和多巴哥,0.0277%,111,2018,23808146747,美洲
巴布亚新几内亚,0.0274%,112,2018,23497607690,大洋洲
波黑,0.0235%,113,2018,20161865419,欧洲
阿富汗,0.0225%,114,2018,19362969582,亚洲
乍得,0.0155%,88,1972,585427545,非洲
布基纳法索,0.0153%,89,1972,578595583,非洲
卡塔尔,0.0135%,90,1972,510259940,亚洲
新喀里多尼亚,0.0134%,91,1972,505892512,大洋洲
博茨瓦纳,0.0217%,115,2018,18616018903,非洲
老挝,0.0209%,116,2018,17953786416,亚洲
柬埔寨,0.0134%,92,1972,505549441,亚洲
马里,0.0129%,93,1972,486617332,非洲
塞拉利昂,0.0123%,94,1972,465381089,非洲
加蓬,0.0114%,95,1972,430508357,非洲
索马里,0.0110%,96,1972,416942436,非洲
刚果（布）,0.0109%,97,1972,410669262,非洲
格鲁吉亚,0.0205%,117,2018,17599660629,亚洲
马里,0.0200%,118,2018,17163432832,非洲
加蓬,0.0196%,119,2018,16853589311,非洲
贝宁,0.0108%,98,1972,410331900,非洲
马拉维,0.0107%,99,1972,406062874,非洲
摩纳哥,0.0106%,100,1972,402460333,欧洲
海地,0.0098%,101,1972,372000000,美洲
利比里亚,0.0097%,102,1972,368098000,非洲
阿曼,0.0097%,103,1972,366857738,亚洲
多哥,0.0089%,104,1972,335677636,非洲
牙买加,0.0183%,120,2018,15713908816,美洲
阿尔巴尼亚,0.0176%,121,2018,15102500898,欧洲
莫桑比克,0.0171%,122,2018,14717223206,非洲
巴勒斯坦,0.0170%,123,2018,14615900000,亚洲
马耳他,0.0169%,124,2018,14553422928,欧洲
纳米比亚,0.0169%,125,2018,14521711633,非洲
毛里求斯,0.0166%,126,2018,14220348672,非洲
布基纳法索,0.0164%,127,2018,14124775068,非洲
马达加斯加,0.0161%,128,2018,13853432868,非洲
文莱,0.0158%,129,2018,13567351175,亚洲
法属波利尼西亚,0.0086%,105,1972,325843254,大洋洲
赤道几内亚,0.0156%,130,2018,13432377049,非洲
尼加拉瓜,0.0153%,131,2018,13117845416,美洲
蒙古,0.0152%,132,2018,13066749138,亚洲
马其顿,0.0148%,133,2018,12672131053,欧洲
亚美尼亚,0.0145%,134,2018,12433089919,亚洲
巴哈马,0.0145%,135,2018,12424500000,美洲
斐济群岛,0.0084%,106,1972,316650508,大洋洲
苏里南,0.0082%,107,1972,311950000,美洲
马耳他,0.0078%,108,1972,295118249,欧洲
圭亚那,0.0075%,109,1972,285380952,美洲
文莱,0.0072%,110,1972,270818555,亚洲
毛里塔尼亚,0.0070%,111,1972,265009396,非洲
布隆迪,0.0065%,112,1972,246804571,非洲
卢旺达,0.0065%,113,1972,246457838,非洲
百慕大,0.0062%,114,1972,235400000,美洲
摩尔多瓦,0.0133%,136,2018,11443671435,欧洲
乍得,0.0131%,137,2018,11273115239,非洲
中非,0.0061%,115,1972,230317908,非洲
博茨瓦纳,0.0044%,116,1972,165258093,非洲
斯威士兰,0.0039%,117,1972,146741251,非洲
列支敦士登,0.0033%,118,1972,124941925,欧洲
安道尔,0.0030%,119,1972,113408231,欧洲
格陵兰,0.0028%,120,1972,106101175,美洲
刚果（布）,0.0131%,138,2018,11263682694,非洲
几内亚,0.0127%,139,2018,10907214993,非洲
贝宁,0.0121%,140,2018,10354274634,非洲
海地,0.0112%,141,2018,9658721168,美洲
卢旺达,0.0111%,142,2018,9508715596,非洲
尼日尔,0.0108%,143,2018,9290938457,非洲
吉尔吉斯斯坦,0.0094%,144,2018,8092836608,亚洲
塔吉克斯坦,0.0088%,145,2018,7522947810,亚洲
几内亚比绍,0.0023%,121,1972,87702828,非洲
莱索托,0.0021%,122,1972,80915831,非洲
伯利兹,0.0017%,123,1972,66062500,美洲
赤道几内亚,0.0017%,124,1972,65429198,非洲
冈比亚,0.0016%,125,1972,59161544,非洲
所罗门群岛,0.0011%,126,1972,40606712,大洋洲
塞舌尔,0.0008%,127,1972,30645121,非洲
圣文森特和格林纳丁斯,0.0007%,128,1972,27585488,美洲
索马里,0.0087%,146,2018,7484000000,非洲
摩纳哥,0.0084%,147,2018,7184844192,欧洲
马拉维,0.0082%,148,2018,7064971176,非洲
圣基茨和尼维斯,0.0006%,129,1972,22944849,美洲
基里巴斯,0.0005%,130,1972,18936526,大洋洲
关岛,0.0069%,149,2018,5920000000,大洋洲
